scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,28.8254,26.0,1,0.2436,2
low_crowding,A*,2,23.0187,24.0,1,0.1551,2
low_crowding,A*,3,31.2071,30.0,1,1.216,0
low_crowding,A*,4,32.8796,31.0,1,0.2333,2
low_crowding,A*,5,13.0052,15.0,1,0.0902,2
low_crowding,A*,6,34.1694,33.0,1,1.3326,2
low_crowding,A*,7,28.1905,23.0,1,0.2973,0
low_crowding,A*,8,31.1788,26.0,1,0.4711,2
low_crowding,A*,9,24.931,21.0,1,0.5444,2
low_crowding,A*,10,20.6893,21.0,1,0.225,2
low_crowding,A*,11,16.9457,20.0,1,0.4871,2
low_crowding,A*,12,28.7824,28.0,1,0.311,2
low_crowding,A*,13,21.2447,22.0,1,0.3748,2
low_crowding,A*,14,19.7145,20.0,1,0.1274,2
low_crowding,A*,15,31.8757,31.0,1,1.0498,2
low_crowding,A*,16,16.3732,17.0,1,0.1065,2
low_crowding,A*,17,24.392,26.0,1,0.7735,2
low_crowding,A*,18,16.8099,19.0,1,0.0994,0
low_crowding,A*,19,34.2609,30.0,1,1.2136,2
low_crowding,A*,20,20.9327,20.0,1,0.1067,2
low_crowding,A*,21,14.2157,15.0,1,0.1566,2
low_crowding,A*,22,42.5993,39.0,1,1.6733,0
low_crowding,A*,23,22.2392,21.0,1,0.2438,2
low_crowding,A*,24,17.3266,17.0,1,0.094,2
low_crowding,A*,25,43.6035,44.0,1,2.3322,0
low_crowding,A*,26,18.5265,15.0,1,0.2438,2
low_crowding,A*,27,17.0483,18.0,1,0.1551,2
low_crowding,A*,28,17.0998,17.0,1,0.1088,2
low_crowding,A*,29,28.8731,26.0,1,0.1596,2
low_crowding,A*,30,33.6925,30.0,1,1.0438,2
low_crowding,RRT*,1,999.1924,0.0,0,25.3066,0
low_crowding,RRT*,2,23.7866,25.0088,1,0.65,2
low_crowding,RRT*,3,999.1437,0.0,0,0.2181,0
low_crowding,RRT*,4,999.1641,0.0,0,0.6965,2
low_crowding,RRT*,5,999.1716,0.0,0,0.1364,2
low_crowding,RRT*,6,999.1873,0.0,0,0.2083,0
low_crowding,RRT*,7,999.192,0.0,0,0.7457,0
low_crowding,RRT*,8,999.1252,0.0,0,0.2841,0
low_crowding,RRT*,9,17.651,18.659,1,0.2799,2
low_crowding,RRT*,10,22.0781,22.2514,1,0.45,2
low_crowding,RRT*,11,999.1735,0.0,0,0.4036,2
low_crowding,RRT*,12,999.1843,0.0,0,0.6773,0
low_crowding,RRT*,13,999.1128,0.0,0,0.4868,0
low_crowding,RRT*,14,999.1062,0.0,0,0.467,0
low_crowding,RRT*,15,999.0718,0.0,0,1.102,0
low_crowding,RRT*,16,999.0888,0.0,0,0.2477,0
low_crowding,RRT*,17,999.1411,0.0,0,0.3241,0
low_crowding,RRT*,18,39.7124,33.8951,1,0.2988,2
low_crowding,RRT*,19,999.0904,0.0,0,0.2388,2
low_crowding,RRT*,20,999.1103,0.0,0,0.4714,0
low_crowding,RRT*,21,999.1363,0.0,0,0.2927,0
low_crowding,RRT*,22,999.1816,0.0,0,0.3457,2
low_crowding,RRT*,23,22.9845,22.7082,1,0.2435,2
low_crowding,RRT*,24,999.1775,0.0,0,0.2914,2
low_crowding,RRT*,25,999.1367,0.0,0,0.4581,0
low_crowding,RRT*,26,999.0768,0.0,0,0.2371,0
low_crowding,RRT*,27,999.0688,0.0,0,0.2766,2
low_crowding,RRT*,28,18.3375,16.5946,1,0.2412,2
low_crowding,RRT*,29,18.1571,20.0667,1,0.709,2
low_crowding,RRT*,30,28.5722,27.659,1,0.1642,2
moderate_crowding,A*,1,23.1546,27.0,1,0.2957,2
moderate_crowding,A*,2,21.9702,21.0,1,0.1858,4
moderate_crowding,A*,3,27.6502,27.0,1,0.6009,4
moderate_crowding,A*,4,29.2436,28.0,1,0.1697,4
moderate_crowding,A*,5,18.036,19.0,1,0.1151,4
moderate_crowding,A*,6,32.9815,32.0,1,1.0353,4
moderate_crowding,A*,7,23.7922,26.0,1,0.2596,4
moderate_crowding,A*,8,19.5241,18.0,1,0.2116,4
moderate_crowding,A*,9,18.4515,20.0,1,0.1643,4
moderate_crowding,A*,10,26.7996,24.0,1,0.2171,4
moderate_crowding,A*,11,17.054,19.0,1,0.1913,4
moderate_crowding,A*,12,33.5418,30.0,1,0.1907,4
moderate_crowding,A*,13,33.4316,36.0,1,0.7129,3
moderate_crowding,A*,14,24.1449,27.0,1,0.6095,4
moderate_crowding,A*,15,44.7567,42.0,1,1.9176,2
moderate_crowding,A*,16,18.601,21.0,1,0.2845,3
moderate_crowding,A*,17,23.7174,19.0,1,0.4712,4
moderate_crowding,A*,18,27.1757,31.0,1,0.3015,4
moderate_crowding,A*,19,25.2882,23.0,1,0.2328,4
moderate_crowding,A*,20,29.2466,27.0,1,0.339,4
moderate_crowding,A*,21,21.7652,22.0,1,0.586,4
moderate_crowding,A*,22,21.7212,23.0,1,0.1382,4
moderate_crowding,A*,23,21.0224,19.0,1,0.1171,4
moderate_crowding,A*,24,34.3559,31.0,1,0.3002,4
moderate_crowding,A*,25,23.5274,28.0,1,0.7605,4
moderate_crowding,A*,26,26.3014,31.0,1,0.3112,4
moderate_crowding,A*,27,29.934,34.0,1,1.2746,4
moderate_crowding,A*,28,37.8923,33.0,1,0.7005,4
moderate_crowding,A*,29,21.5666,23.0,1,0.6034,4
moderate_crowding,A*,30,15.0669,16.0,1,0.1514,4
moderate_crowding,RRT*,1,999.1582,0.0,0,0.5287,0
moderate_crowding,RRT*,2,999.1234,0.0,0,0.2497,4
moderate_crowding,RRT*,3,999.0634,0.0,0,1.0353,0
moderate_crowding,RRT*,4,999.1431,0.0,0,1.0105,0
moderate_crowding,RRT*,5,999.1292,0.0,0,0.1163,4
moderate_crowding,RRT*,6,999.1797,0.0,0,0.744,0
moderate_crowding,RRT*,7,999.0687,0.0,0,0.396,4
moderate_crowding,RRT*,8,999.0519,0.0,0,0.2645,0
moderate_crowding,RRT*,9,999.1253,0.0,0,0.2375,4
moderate_crowding,RRT*,10,999.1624,0.0,0,1.2388,0
moderate_crowding,RRT*,11,999.1708,0.0,0,1.9373,4
moderate_crowding,RRT*,12,999.1394,0.0,0,0.5297,0
moderate_crowding,RRT*,13,999.1326,0.0,0,1.4916,0
moderate_crowding,RRT*,14,999.0897,0.0,0,0.4707,0
moderate_crowding,RRT*,15,999.1473,0.0,0,0.867,0
moderate_crowding,RRT*,16,999.1826,0.0,0,0.2838,0
moderate_crowding,RRT*,17,24.1878,23.4875,1,0.1538,4
moderate_crowding,RRT*,18,999.1599,0.0,0,1.3593,0
moderate_crowding,RRT*,19,999.0666,0.0,0,0.411,0
moderate_crowding,RRT*,20,999.0562,0.0,0,0.6457,4
moderate_crowding,RRT*,21,999.189,0.0,0,0.3898,0
moderate_crowding,RRT*,22,999.0994,0.0,0,0.5582,4
moderate_crowding,RRT*,23,999.0571,0.0,0,2.3188,0
moderate_crowding,RRT*,24,28.4845,26.3028,1,0.2865,4
moderate_crowding,RRT*,25,999.1952,0.0,0,8.829,0
moderate_crowding,RRT*,26,999.1596,0.0,0,0.2527,4
moderate_crowding,RRT*,27,999.1706,0.0,0,0.4199,4
moderate_crowding,RRT*,28,999.197,0.0,0,1.2507,4
moderate_crowding,RRT*,29,999.0987,0.0,0,0.2125,4
moderate_crowding,RRT*,30,999.076,0.0,0,0.146,4
high_crowding,A*,1,29.286,27.0,1,0.7148,7
high_crowding,A*,2,25.2774,23.0,1,0.2561,7
high_crowding,A*,3,999.0906,0.0,0,0.6956,7
high_crowding,A*,4,24.9579,26.0,1,0.4218,7
high_crowding,A*,5,29.9134,25.0,1,0.445,7
high_crowding,A*,6,30.531,31.0,1,0.2421,7
high_crowding,A*,7,37.7419,41.0,1,0.2921,6
high_crowding,A*,8,20.6934,22.0,1,0.121,7
high_crowding,A*,9,40.5298,40.0,1,0.2395,6
high_crowding,A*,10,18.2074,21.0,1,0.3477,3
high_crowding,A*,11,21.1199,22.0,1,0.1358,7
high_crowding,A*,12,20.4762,19.0,1,0.1585,7
high_crowding,A*,13,24.4872,21.0,1,0.2031,6
high_crowding,A*,14,34.5661,33.0,1,1.019,6
high_crowding,A*,15,33.0357,28.0,1,0.2132,7
high_crowding,A*,16,21.3458,25.0,1,0.1537,7
high_crowding,A*,17,19.9158,18.0,1,0.348,7
high_crowding,A*,18,46.1317,37.0,1,1.5074,7
high_crowding,A*,19,20.8396,23.0,1,0.4965,7
high_crowding,A*,20,33.1439,36.0,1,0.4681,7
high_crowding,A*,21,29.4946,28.0,1,0.5974,7
high_crowding,A*,22,23.5866,28.0,1,0.348,7
high_crowding,A*,23,31.2728,28.0,1,0.3246,7
high_crowding,A*,24,28.6878,31.0,1,0.8315,7
high_crowding,A*,25,24.2601,26.0,1,0.1921,7
high_crowding,A*,26,26.6236,25.0,1,0.5769,7
high_crowding,A*,27,30.0223,28.0,1,0.5721,7
high_crowding,A*,28,27.2395,27.0,1,0.2351,7
high_crowding,A*,29,27.6187,22.0,1,0.1373,4
high_crowding,A*,30,33.1579,32.0,1,1.0909,7
high_crowding,RRT*,1,999.1911,0.0,0,0.6807,0
high_crowding,RRT*,2,999.0863,0.0,0,18.1934,0
high_crowding,RRT*,3,999.0901,0.0,0,0.1874,7
high_crowding,RRT*,4,999.1799,0.0,0,0.1924,7
high_crowding,RRT*,5,999.1256,0.0,0,0.2666,7
high_crowding,RRT*,6,999.1309,0.0,0,0.6723,0
high_crowding,RRT*,7,999.1516,0.0,0,0.7905,7
high_crowding,RRT*,8,999.0675,0.0,0,0.2568,7
high_crowding,RRT*,9,999.1663,0.0,0,0.7109,0
high_crowding,RRT*,10,999.1691,0.0,0,0.229,0
high_crowding,RRT*,11,999.0945,0.0,0,0.9646,0
high_crowding,RRT*,12,999.1329,0.0,0,0.2549,0
high_crowding,RRT*,13,999.0623,0.0,0,0.1456,7
high_crowding,RRT*,14,999.1156,0.0,0,0.3775,7
high_crowding,RRT*,15,999.1892,0.0,0,0.3345,7
high_crowding,RRT*,16,999.1727,0.0,0,0.4764,7
high_crowding,RRT*,17,999.1958,0.0,0,0.1508,7
high_crowding,RRT*,18,999.1296,0.0,0,1.0222,7
high_crowding,RRT*,19,999.0717,0.0,0,2.874,0
high_crowding,RRT*,20,999.1977,0.0,0,3.0771,0
high_crowding,RRT*,21,999.1089,0.0,0,1.4604,0
high_crowding,RRT*,22,999.081,0.0,0,0.2851,0
high_crowding,RRT*,23,999.1668,0.0,0,1.8052,0
high_crowding,RRT*,24,999.0799,0.0,0,0.7553,7
high_crowding,RRT*,25,999.0596,0.0,0,0.3256,7
high_crowding,RRT*,26,999.1589,0.0,0,0.713,7
high_crowding,RRT*,27,999.0797,0.0,0,0.3729,7
high_crowding,RRT*,28,999.1428,0.0,0,1.1196,0
high_crowding,RRT*,29,999.1857,0.0,0,0.8795,7
high_crowding,RRT*,30,999.118,0.0,0,0.6356,0
