alert_id,scenario,planner,run_id,start_x,start_y,goal_x,goal_y,t_alert_s,t_plan_recv_s,t_arrived_s,response_time_s,path_length_m,success,compute_time_ms,replans
run1_alert1_55443,low_crowding,A*,1,2,2,4,9,1780656655.4476,1780656655.4511,1780656679.4813,24.0337,7.8284,1,1.5424,1
run2_alert1_88967,low_crowding,A*,2,2,2,12,9,1780656688.9683,1780656688.9716,1780656742.233,53.2647,14.0711,1,7.372999999999999,7
run3_alert1_52297,low_crowding,A*,3,2,2,4,9,1780656752.3019,1780656752.3064,1780656777.7958,25.4939,7.8284,1,0.6799,1
run4_alert1_88124,low_crowding,A*,4,2,2,4,9,1780656788.129,1780656788.1352,1780656811.4835,23.3545,7.8284,1,0.6767000000000001,1
run5_alert1_22410,low_crowding,A*,5,2,2,4,9,1780656822.4205,1780656822.4294,1780656845.9579,23.5374,7.8284,1,1.0091999999999999,1
run6_alert1_56961,low_crowding,A*,6,2,2,12,9,1780656856.9668,1780656856.9705,1780656907.1928,50.226,14.0711,1,9.7698,7
run7_alert1_17456,low_crowding,A*,7,2,2,12,9,1780656917.4659,1780656917.47,1780656968.3271,50.8612,14.0711,1,13.2752,7
run8_alert1_77666,low_crowding,A*,8,2,2,12,9,1780656977.6698,1780656977.6765,1780657029.2412,51.5714,14.0711,1,7.3572,7
run9_alert1_38951,low_crowding,A*,9,2,2,4,9,1780657038.954,1780657038.9566,1780657063.2976,24.3436,7.8284,1,0.6185,1
run10_alert1_74090,low_crowding,A*,10,2,2,12,9,1780657074.0971,1780657074.1041,1780657125.894,51.7969,14.0711,1,7.832999999999999,7
run1_alert1_40379,low_crowding,RRT*,1,2,2,4,9,1780657140.4574,1780657140.4653,1780657162.9144,22.457,7.3592,1,13.581,1
run2_alert1_72461,low_crowding,RRT*,2,2,2,12,9,1780657172.4782,1780657172.4816,1780657213.3794,40.9012,12.8614,1,24.925000000000004,4
run3_alert1_23254,low_crowding,RRT*,3,2,2,4,9,1780657223.258,1780657223.2619,1780657245.7748,22.5168,7.4721,1,0.6194,0
run4_alert1_55634,low_crowding,RRT*,4,2,2,4,9,1780657255.6361,1780657255.6423,1780657277.9861,22.35,7.3983,1,1.1583,0
run5_alert1_88023,low_crowding,RRT*,5,2,2,4,9,1780657288.0241,1780657288.03,1780657310.5025,22.4784,7.3983,1,0.3512,0
run6_alert1_19991,low_crowding,RRT*,6,2,2,12,9,1780657319.9943,1780657319.9978,1780657365.4965,45.5022,13.2109,1,57.929,4
run7_alert1_76966,low_crowding,RRT*,7,2,2,12,9,1780657376.9816,1780657377.0488,1780657423.3757,46.3941,13.2847,1,70.5411,3
run8_alert1_33533,low_crowding,RRT*,8,2,2,12,9,1780657433.5342,1780657433.5378,1780657471.8625,38.3283,12.6832,1,10.3057,2
run9_alert1_81695,low_crowding,RRT*,9,2,2,4,9,1780657481.6986,1780657481.7018,1780657503.9261,22.2275,7.2854,1,1.5422,1
run10_alert1_13988,low_crowding,RRT*,10,2,2,12,9,1780657514.0211,1780657514.0595,1780657549.8615,35.8404,13.0924,1,42.164,0
run1_alert1_59269,moderate_crowding,A*,1,2,2,4,9,1780657559.2702,1780657559.2738,1780657582.6062,23.336,7.8284,1,0.30010000000000003,1
run2_alert1_92158,moderate_crowding,A*,2,2,2,12,9,1780657592.1623,1780657592.1642,1780657639.0565,46.8942,14.0711,1,11.511099999999999,12
run3_alert1_50014,moderate_crowding,A*,3,2,2,4,9,1780657650.0174,1780657650.0262,1780657673.4661,23.4487,7.8284,1,0.5664,1
run4_alert1_83503,moderate_crowding,A*,4,2,2,4,9,1780657683.5062,1780657683.511,1780657707.0961,23.5899,7.8284,1,0.6147,1
run5_alert1_17044,moderate_crowding,A*,5,2,2,4,9,1780657717.0488,1780657717.049,1780657740.7738,23.725,7.8284,1,0.5042,1
run6_alert1_51163,moderate_crowding,A*,6,2,2,12,9,1780657751.1663,1780657751.1693,1780657811.003,59.8367,14.6569,1,10.0928,14
run7_alert1_20860,moderate_crowding,A*,7,2,2,12,9,1780657820.8622,1780657820.865,1780657872.0921,51.2299,14.0711,1,11.144300000000001,13
run8_alert1_81659,moderate_crowding,A*,8,2,2,12,9,1780657881.6623,1780657881.666,1780657934.6243,52.962,14.0711,1,14.0727,13
run9_alert1_46215,moderate_crowding,A*,9,2,2,4,9,1780657946.2196,1780657946.225,1780657969.7361,23.5165,7.8284,1,1.1002,1
run10_alert1_79594,moderate_crowding,A*,10,2,2,12,9,1780657979.6011,1780657979.6137,1780658049.5078,69.9067,14.0711,1,17.7756,16
run1_alert1_58934,moderate_crowding,RRT*,1,2,2,4,9,1780658058.938,1780658058.9415,1780658081.1574,22.2194,7.3592,1,1.7084000000000001,1
run2_alert1_91162,moderate_crowding,RRT*,2,2,2,12,9,1780658091.1636,1780658091.1711,1780658128.5768,37.4132,14.1876,1,10.633600000000001,1
run3_alert1_38843,moderate_crowding,RRT*,3,2,2,4,9,1780658138.8451,1780658138.8495,1780658161.3162,22.4711,7.4721,1,0.6992,0
run4_alert1_71202,moderate_crowding,RRT*,4,2,2,4,9,1780658171.2061,1780658171.2123,1780658193.5701,22.364,7.3983,1,1.9425,0
run5_alert1_3514,moderate_crowding,RRT*,5,2,2,4,9,1780658203.5155,1780658203.5202,1780658225.958,22.4425,7.3983,1,0.3441,0
run6_alert1_35297,moderate_crowding,RRT*,6,2,2,12,9,1780658235.2988,1780658235.3026,1780658276.0661,40.7673,14.8852,1,45.0351,6
run7_alert1_85991,moderate_crowding,RRT*,7,2,2,12,9,1780658286.0022,1780658286.0104,1780658330.2312,44.229,12.6094,1,32.930299999999995,5
run8_alert1_40469,moderate_crowding,RRT*,8,2,2,12,9,1780658340.4708,1780658340.4762,1780658379.0184,38.5476,12.6832,1,11.2094,2
run9_alert1_88967,moderate_crowding,RRT*,9,2,2,4,9,1780658388.9724,1780658388.9786,1780658413.8313,24.8589,8.6344,1,0.8423,0
run10_alert1_23605,moderate_crowding,RRT*,10,2,2,12,9,1780658423.6093,1780658423.6125,1780658473.8343,50.225,14.447,1,41.4156,6
run1_alert1_92963,high_crowding,A*,1,2,2,4,9,1780658492.9655,1780658492.9741,1780658516.373,23.4075,7.8284,1,0.3528,1
run2_alert1_26104,high_crowding,A*,2,2,2,12,9,1780658526.1093,1780658526.1106,1780658602.9786,76.8693,14.6569,1,15.759200000000002,20
run3_alert1_13188,high_crowding,A*,3,2,2,4,9,1780658613.1895,1780658613.1932,1780658636.5615,23.372,7.8284,1,0.35719999999999996,1
run4_alert1_45849,high_crowding,A*,4,2,2,4,9,1780658645.8515,1780658645.8541,1780658669.2028,23.3513,7.8284,1,0.49360000000000004,1
run5_alert1_79174,high_crowding,A*,5,2,2,4,9,1780658679.1765,1780658679.1814,1780658703.795,24.6185,7.8284,1,0.33430000000000004,1
run6_alert1_14272,high_crowding,A*,6,2,2,12,9,1780658714.2763,1780658714.2882,1780658791.2452,76.9689,14.6569,1,17.854799999999997,20
run7_alert1_975,high_crowding,A*,7,2,2,12,9,1780658800.9829,1780658800.9873,1780658878.9153,77.9324,14.6569,1,24.0845,20
run8_alert1_89013,high_crowding,A*,8,2,2,12,9,1780658889.0267,1780658889.0325,1780658966.4234,77.3967,14.6569,1,15.563300000000002,20
run9_alert1_76482,high_crowding,A*,9,2,2,4,9,1780658976.4852,1780658976.4859,1780659000.383,23.8978,7.8284,1,0.33999999999999997,1
run10_alert1_11104,high_crowding,A*,10,2,2,12,9,1780659011.1078,1780659011.1153,1780659087.0321,75.9243,14.6569,1,16.857,20
run1_alert1_96583,high_crowding,RRT*,1,2,2,4,9,1780659096.5861,1780659096.5882,1780659118.8628,22.2767,7.3592,1,0.886,1
run2_alert1_28437,high_crowding,RRT*,2,2,2,12,9,1780659128.4393,1780659128.4408,1780659187.2732,58.8339,13.7967,1,217.0618,13
run3_alert1_97551,high_crowding,RRT*,3,2,2,4,9,1780659197.5524,1780659197.556,1780659220.0353,22.4829,7.4721,1,0.9873,0
run4_alert1_30456,high_crowding,RRT*,4,2,2,4,9,1780659230.4745,1780659230.4764,1780659252.8189,22.3444,7.3983,1,3.0216,0
run5_alert1_63073,high_crowding,RRT*,5,2,2,4,9,1780659263.0815,1780659263.0844,1780659285.5812,22.4997,7.3983,1,0.793,0
run6_alert1_95136,high_crowding,RRT*,6,2,2,12,9,1780659295.1372,1780659295.142,1780659354.464,59.3268,12.8323,1,46.10159999999999,11
run7_alert1_64455,high_crowding,RRT*,7,2,2,12,9,1780659364.4572,1780659364.4592,1780659421.024,56.5668,14.0039,1,42.246500000000005,7
run8_alert1_31114,high_crowding,RRT*,8,2,2,12,9,1780659431.1162,1780659431.1295,1780659486.1863,55.0701,15.8965,1,92.73379999999999,6
run9_alert1_95905,high_crowding,RRT*,9,2,2,4,9,1780659495.9068,1780659495.9093,1780659520.8459,24.9391,8.6344,1,0.345,0
run10_alert1_30691,high_crowding,RRT*,10,2,2,12,9,1780659530.6925,1780659530.6992,1780659571.2214,40.5289,15.6446,1,17.2406,1
