scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,16.3581,15.0,1,0.2282,2
low_crowding,A*,2,25.859,30.0,1,0.7065,2
low_crowding,A*,3,20.4,23.0,1,0.4138,2
low_crowding,A*,4,17.9482,16.0,1,0.1045,2
low_crowding,A*,5,30.9532,29.0,1,1.1445,2
low_crowding,A*,6,25.6672,22.0,1,0.1412,2
low_crowding,A*,7,24.9725,22.0,1,0.6222,2
low_crowding,A*,8,17.6678,15.0,1,0.2412,2
low_crowding,A*,9,20.4157,22.0,1,0.1613,2
low_crowding,A*,10,34.4354,29.0,1,1.1811,2
low_crowding,A*,11,27.8073,24.0,1,0.1571,2
low_crowding,A*,12,33.2676,27.0,1,1.0063,2
low_crowding,A*,13,25.0801,24.0,1,0.483,2
low_crowding,A*,14,17.583,17.0,1,0.1117,2
low_crowding,A*,15,17.981,19.0,1,0.1456,2
low_crowding,A*,16,22.2799,24.0,1,0.1752,2
low_crowding,A*,17,15.4999,17.0,1,0.1123,2
low_crowding,A*,18,18.3825,21.0,1,0.6961,2
low_crowding,A*,19,16.3078,15.0,1,0.0852,1
low_crowding,A*,20,17.525,15.0,1,0.2915,2
low_crowding,A*,21,25.7632,22.0,1,0.179,2
low_crowding,A*,22,18.6392,21.0,1,0.2076,2
low_crowding,A*,23,24.2315,20.0,1,0.1862,2
low_crowding,A*,24,22.5502,26.0,1,0.438,2
low_crowding,A*,25,19.8801,18.0,1,0.3947,2
low_crowding,A*,26,16.5326,18.0,1,0.1151,2
low_crowding,A*,27,23.5653,19.0,1,0.1075,2
low_crowding,A*,28,14.2325,17.0,1,0.1092,2
low_crowding,A*,29,17.8758,20.0,1,0.2347,2
low_crowding,A*,30,19.7373,23.0,1,0.1486,2
low_crowding,RRT*,1,999.0923,0.0,0,0.6208,0
low_crowding,RRT*,2,999.1942,0.0,0,0.1516,2
low_crowding,RRT*,3,999.0766,0.0,0,0.6561,0
low_crowding,RRT*,4,999.1673,0.0,0,0.5457,2
low_crowding,RRT*,5,12.9308,15.1803,1,0.5191,2
low_crowding,RRT*,6,16.9068,16.8306,1,0.2165,2
low_crowding,RRT*,7,999.1082,0.0,0,0.426,2
low_crowding,RRT*,8,999.1749,0.0,0,0.1136,2
low_crowding,RRT*,9,999.1851,0.0,0,0.3783,2
low_crowding,RRT*,10,999.1908,0.0,0,0.4554,2
low_crowding,RRT*,11,999.1126,0.0,0,1.6833,0
low_crowding,RRT*,12,999.1974,0.0,0,0.3741,2
low_crowding,RRT*,13,999.0599,0.0,0,0.2434,0
low_crowding,RRT*,14,999.1901,0.0,0,0.3351,2
low_crowding,RRT*,15,999.0852,0.0,0,0.3483,0
low_crowding,RRT*,16,999.1063,0.0,0,0.3193,2
low_crowding,RRT*,17,999.105,0.0,0,0.1717,2
low_crowding,RRT*,18,999.1426,0.0,0,0.6257,0
low_crowding,RRT*,19,999.1463,0.0,0,1.1959,0
low_crowding,RRT*,20,31.0139,25.0733,1,0.361,2
low_crowding,RRT*,21,999.1038,0.0,0,0.3393,2
low_crowding,RRT*,22,999.1757,0.0,0,0.4849,0
low_crowding,RRT*,23,18.8904,19.423,1,0.3036,2
low_crowding,RRT*,24,999.1133,0.0,0,0.5766,0
low_crowding,RRT*,25,999.1023,0.0,0,0.2882,0
low_crowding,RRT*,26,999.1737,0.0,0,11.3511,0
low_crowding,RRT*,27,999.0985,0.0,0,1.1618,2
low_crowding,RRT*,28,24.2218,28.3028,1,0.351,2
low_crowding,RRT*,29,999.1286,0.0,0,0.185,2
low_crowding,RRT*,30,999.053,0.0,0,0.2599,0
moderate_crowding,A*,1,19.1156,19.0,1,0.3075,4
moderate_crowding,A*,2,26.872,26.0,1,0.2339,4
moderate_crowding,A*,3,18.0601,20.0,1,0.1662,4
moderate_crowding,A*,4,33.6311,35.0,1,0.2252,2
moderate_crowding,A*,5,29.2641,27.0,1,0.1709,4
moderate_crowding,A*,6,18.7005,22.0,1,0.1288,4
moderate_crowding,A*,7,34.7906,31.0,1,0.1995,4
moderate_crowding,A*,8,36.4349,36.0,1,1.4962,4
moderate_crowding,A*,9,29.5994,31.0,1,0.6645,4
moderate_crowding,A*,10,16.699,17.0,1,0.0957,3
moderate_crowding,A*,11,22.0275,22.0,1,0.1478,4
moderate_crowding,A*,12,25.6236,28.0,1,0.5206,4
moderate_crowding,A*,13,16.8913,18.0,1,0.1078,3
moderate_crowding,A*,14,27.3076,31.0,1,0.8386,4
moderate_crowding,A*,15,31.0575,25.0,1,0.1641,4
moderate_crowding,A*,16,31.8212,26.0,1,0.1562,4
moderate_crowding,A*,17,26.099,22.0,1,0.4285,4
moderate_crowding,A*,18,22.1104,24.0,1,0.6041,4
moderate_crowding,A*,19,30.8803,29.0,1,0.2929,4
moderate_crowding,A*,20,27.6917,23.0,1,0.1879,4
moderate_crowding,A*,21,24.0244,27.0,1,0.9728,4
moderate_crowding,A*,22,19.336,17.0,1,0.1448,4
moderate_crowding,A*,23,15.4604,17.0,1,0.3179,4
moderate_crowding,A*,24,32.6738,31.0,1,1.6222,3
moderate_crowding,A*,25,22.9345,22.0,1,0.665,4
moderate_crowding,A*,26,23.2953,21.0,1,0.133,4
moderate_crowding,A*,27,25.7299,30.0,1,1.0859,4
moderate_crowding,A*,28,18.4871,15.0,1,0.0954,4
moderate_crowding,A*,29,21.688,25.0,1,0.6382,4
moderate_crowding,A*,30,31.8431,29.0,1,0.1862,4
moderate_crowding,RRT*,1,999.0605,0.0,0,1.103,0
moderate_crowding,RRT*,2,999.1569,0.0,0,0.2268,0
moderate_crowding,RRT*,3,999.1842,0.0,0,0.7511,4
moderate_crowding,RRT*,4,999.1799,0.0,0,0.8123,0
moderate_crowding,RRT*,5,999.0991,0.0,0,0.5275,4
moderate_crowding,RRT*,6,999.1063,0.0,0,0.201,0
moderate_crowding,RRT*,7,999.1009,0.0,0,0.211,4
moderate_crowding,RRT*,8,999.0538,0.0,0,0.3027,4
moderate_crowding,RRT*,9,999.0569,0.0,0,0.6385,0
moderate_crowding,RRT*,10,999.0842,0.0,0,0.7523,0
moderate_crowding,RRT*,11,999.0648,0.0,0,0.4778,4
moderate_crowding,RRT*,12,999.1842,0.0,0,8.4042,0
moderate_crowding,RRT*,13,999.0855,0.0,0,0.1247,4
moderate_crowding,RRT*,14,999.0656,0.0,0,0.2096,4
moderate_crowding,RRT*,15,999.1545,0.0,0,0.8976,4
moderate_crowding,RRT*,16,999.0624,0.0,0,0.3055,4
moderate_crowding,RRT*,17,999.18,0.0,0,0.7134,0
moderate_crowding,RRT*,18,999.151,0.0,0,0.472,0
moderate_crowding,RRT*,19,999.0817,0.0,0,0.1565,4
moderate_crowding,RRT*,20,999.152,0.0,0,0.555,4
moderate_crowding,RRT*,21,999.0684,0.0,0,0.2949,4
moderate_crowding,RRT*,22,999.0618,0.0,0,0.395,4
moderate_crowding,RRT*,23,999.09,0.0,0,0.2418,4
moderate_crowding,RRT*,24,999.1183,0.0,0,0.2066,4
moderate_crowding,RRT*,25,999.1486,0.0,0,12.6729,0
moderate_crowding,RRT*,26,999.1028,0.0,0,1.0646,4
moderate_crowding,RRT*,27,999.1463,0.0,0,0.3772,0
moderate_crowding,RRT*,28,999.0993,0.0,0,1.1404,0
moderate_crowding,RRT*,29,16.1105,19.1803,1,1.2155,4
moderate_crowding,RRT*,30,999.0698,0.0,0,0.8427,0
high_crowding,A*,1,19.9591,17.0,1,0.1095,7
high_crowding,A*,2,42.4985,35.0,1,0.9923,7
high_crowding,A*,3,22.4485,18.0,1,0.1122,7
high_crowding,A*,4,23.582,26.0,1,0.1611,7
high_crowding,A*,5,17.2189,15.0,1,0.1453,7
high_crowding,A*,6,21.2653,25.0,1,0.4646,7
high_crowding,A*,7,29.5059,33.0,1,0.189,7
high_crowding,A*,8,21.1334,17.0,1,0.1078,7
high_crowding,A*,9,27.431,29.0,1,0.7327,7
high_crowding,A*,10,30.1201,25.0,1,0.1668,7
high_crowding,A*,11,24.1796,21.0,1,0.342,7
high_crowding,A*,12,24.2911,21.0,1,0.1079,7
high_crowding,A*,13,16.1056,19.0,1,0.2198,7
high_crowding,A*,14,32.2179,29.0,1,0.2714,7
high_crowding,A*,15,27.4379,31.0,1,0.6247,7
high_crowding,A*,16,50.5661,45.0,1,0.6437,7
high_crowding,A*,17,40.3016,34.0,1,0.3335,7
high_crowding,A*,18,29.5436,27.0,1,0.8463,7
high_crowding,A*,19,25.7473,27.0,1,0.6149,7
high_crowding,A*,20,24.201,22.0,1,0.4754,7
high_crowding,A*,21,23.0967,27.0,1,0.2992,7
high_crowding,A*,22,16.1658,19.0,1,0.3515,4
high_crowding,A*,23,23.5979,28.0,1,0.4048,7
high_crowding,A*,24,23.6229,24.0,1,0.1237,7
high_crowding,A*,25,22.2997,23.0,1,0.4069,7
high_crowding,A*,26,17.1677,19.0,1,0.1189,7
high_crowding,A*,27,999.1438,0.0,0,0.2876,6
high_crowding,A*,28,40.1345,42.0,1,1.7953,2
high_crowding,A*,29,34.0723,38.0,1,0.2457,7
high_crowding,A*,30,24.86,28.0,1,0.1502,4
high_crowding,RRT*,1,999.1585,0.0,0,4.0574,0
high_crowding,RRT*,2,999.0742,0.0,0,0.8263,0
high_crowding,RRT*,3,999.1781,0.0,0,0.7522,7
high_crowding,RRT*,4,999.1331,0.0,0,0.8408,7
high_crowding,RRT*,5,999.1382,0.0,0,3.3776,7
high_crowding,RRT*,6,999.1999,0.0,0,0.8014,0
high_crowding,RRT*,7,999.1277,0.0,0,1.2321,5
high_crowding,RRT*,8,999.1064,0.0,0,2.7502,0
high_crowding,RRT*,9,999.0528,0.0,0,0.432,7
high_crowding,RRT*,10,999.168,0.0,0,0.5716,7
high_crowding,RRT*,11,999.1136,0.0,0,0.269,0
high_crowding,RRT*,12,999.1484,0.0,0,4.8796,0
high_crowding,RRT*,13,999.0782,0.0,0,1.0904,0
high_crowding,RRT*,14,999.0777,0.0,0,0.7143,7
high_crowding,RRT*,15,999.1241,0.0,0,3.1538,5
high_crowding,RRT*,16,999.0689,0.0,0,0.5727,7
high_crowding,RRT*,17,999.0586,0.0,0,0.5695,0
high_crowding,RRT*,18,999.1402,0.0,0,1.0383,0
high_crowding,RRT*,19,999.1195,0.0,0,0.7905,0
high_crowding,RRT*,20,999.1488,0.0,0,1.117,7
high_crowding,RRT*,21,999.1001,0.0,0,0.4276,0
high_crowding,RRT*,22,999.066,0.0,0,0.8758,0
high_crowding,RRT*,23,999.0758,0.0,0,0.4648,0
high_crowding,RRT*,24,999.1183,0.0,0,0.7763,7
high_crowding,RRT*,25,999.0732,0.0,0,0.1476,7
high_crowding,RRT*,26,999.1705,0.0,0,5.0175,0
high_crowding,RRT*,27,999.0724,0.0,0,0.2846,7
high_crowding,RRT*,28,999.1325,0.0,0,1.3625,7
high_crowding,RRT*,29,999.0694,0.0,0,3.1932,0
high_crowding,RRT*,30,999.0635,0.0,0,0.4886,7
