scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,48.0015,39.0,1,0.3562,1
low_crowding,A*,2,40.8796,38.0,1,0.2515,2
low_crowding,A*,3,21.1442,19.0,1,0.5092,2
low_crowding,A*,4,24.6041,25.0,1,0.2428,2
low_crowding,A*,5,42.3219,36.0,1,1.7197,2
low_crowding,A*,6,24.5031,20.0,1,0.506,2
low_crowding,A*,7,28.9193,29.0,1,0.1895,2
low_crowding,A*,8,19.4863,18.0,1,0.4706,2
low_crowding,A*,9,33.0904,29.0,1,0.2219,1
low_crowding,A*,10,22.5195,21.0,1,0.2243,2
low_crowding,A*,11,39.8391,44.0,1,0.3123,2
low_crowding,A*,12,25.57,24.0,1,0.4686,2
low_crowding,A*,13,23.2741,27.0,1,1.0202,2
low_crowding,A*,14,28.7012,26.0,1,0.837,2
low_crowding,A*,15,22.3097,21.0,1,0.1334,2
low_crowding,A*,16,26.5657,30.0,1,0.1959,2
low_crowding,A*,17,15.4674,18.0,1,0.1188,2
low_crowding,A*,18,33.1289,27.0,1,1.0385,2
low_crowding,A*,19,15.6069,16.0,1,0.1009,2
low_crowding,A*,20,18.6434,19.0,1,0.3399,2
low_crowding,A*,21,23.4895,24.0,1,0.1362,2
low_crowding,A*,22,36.8807,40.0,1,1.969,1
low_crowding,A*,23,17.9965,16.0,1,0.1024,2
low_crowding,A*,24,29.8818,24.0,1,0.8205,2
low_crowding,A*,25,29.7064,25.0,1,0.1643,2
low_crowding,A*,26,13.9421,16.0,1,0.1522,2
low_crowding,A*,27,22.2844,18.0,1,0.3389,2
low_crowding,A*,28,22.4262,24.0,1,0.5561,0
low_crowding,A*,29,30.4019,36.0,1,0.2262,2
low_crowding,A*,30,16.3668,16.0,1,0.3903,2
low_crowding,RRT*,1,999.1212,0.0,0,3.8162,0
low_crowding,RRT*,2,999.0814,0.0,0,0.5174,2
low_crowding,RRT*,3,21.913,19.8951,1,0.4988,2
low_crowding,RRT*,4,999.1689,0.0,0,0.2113,0
low_crowding,RRT*,5,999.1953,0.0,0,0.1634,2
low_crowding,RRT*,6,18.3809,21.1224,1,0.1711,2
low_crowding,RRT*,7,999.1279,0.0,0,1.0506,0
low_crowding,RRT*,8,999.1943,0.0,0,0.1286,2
low_crowding,RRT*,9,999.0575,0.0,0,0.1582,0
low_crowding,RRT*,10,999.0558,0.0,0,0.2842,2
low_crowding,RRT*,11,999.1858,0.0,0,0.4292,2
low_crowding,RRT*,12,999.0759,0.0,0,4.7577,0
low_crowding,RRT*,13,999.0602,0.0,0,0.5163,0
low_crowding,RRT*,14,999.061,0.0,0,0.8857,0
low_crowding,RRT*,15,999.0546,0.0,0,0.2289,0
low_crowding,RRT*,16,999.1312,0.0,0,0.5285,0
low_crowding,RRT*,17,999.146,0.0,0,0.5003,2
low_crowding,RRT*,18,999.0721,0.0,0,2.0024,0
low_crowding,RRT*,19,999.0551,0.0,0,2.237,0
low_crowding,RRT*,20,999.1351,0.0,0,0.3504,2
low_crowding,RRT*,21,999.1557,0.0,0,0.3924,0
low_crowding,RRT*,22,30.1819,29.3159,1,0.378,2
low_crowding,RRT*,23,999.0926,0.0,0,0.1457,2
low_crowding,RRT*,24,999.1427,0.0,0,0.5315,2
