scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,28.7776,25.0,1,0.1535,2
low_crowding,A*,2,24.2936,22.0,1,0.1282,2
low_crowding,A*,3,19.9524,17.0,1,0.1114,2
low_crowding,A*,4,28.1614,29.0,1,0.1863,2
low_crowding,A*,5,31.6658,27.0,1,0.4165,2
low_crowding,A*,6,36.479,30.0,1,1.2901,2
low_crowding,A*,7,22.0773,20.0,1,0.1744,1
low_crowding,A*,8,19.5715,21.0,1,0.1922,2
low_crowding,A*,9,21.1982,20.0,1,0.18,2
low_crowding,A*,10,22.715,24.0,1,0.5363,2
low_crowding,A*,11,16.881,19.0,1,0.1797,2
low_crowding,A*,12,26.7221,25.0,1,0.8335,2
low_crowding,A*,13,22.5216,21.0,1,0.2292,2
low_crowding,A*,14,19.6236,18.0,1,0.5031,2
low_crowding,A*,15,20.9027,22.0,1,0.1385,2
low_crowding,A*,16,31.3408,35.0,1,0.2295,2
low_crowding,A*,17,23.8489,28.0,1,0.2274,2
low_crowding,A*,18,23.7267,23.0,1,0.1495,2
low_crowding,A*,19,33.2482,29.0,1,0.3858,2
low_crowding,A*,20,23.395,20.0,1,0.4613,2
low_crowding,A*,21,18.5332,18.0,1,0.1183,2
low_crowding,A*,22,20.0981,22.0,1,0.5537,2
low_crowding,A*,23,33.479,33.0,1,1.467,2
low_crowding,A*,24,21.2578,21.0,1,0.136,2
low_crowding,A*,25,17.0369,16.0,1,0.092,1
low_crowding,A*,26,18.3309,19.0,1,0.361,2
low_crowding,A*,27,19.7061,18.0,1,0.4855,2
low_crowding,A*,28,18.178,15.0,1,0.3288,2
low_crowding,A*,29,15.2093,17.0,1,0.4103,2
low_crowding,A*,30,27.6407,31.0,1,0.6348,2
low_crowding,RRT*,1,999.181,0.0,0,2.1568,0
low_crowding,RRT*,2,999.1057,0.0,0,0.7429,0
low_crowding,RRT*,3,999.0835,0.0,0,0.3079,0
low_crowding,RRT*,4,999.0781,0.0,0,0.5194,2
low_crowding,RRT*,5,17.8366,17.0088,1,0.2392,2
low_crowding,RRT*,6,999.1601,0.0,0,0.2497,2
low_crowding,RRT*,7,999.1202,0.0,0,0.1664,0
low_crowding,RRT*,8,999.0746,0.0,0,1.0936,2
low_crowding,RRT*,9,999.0701,0.0,0,0.3837,0
low_crowding,RRT*,10,999.0545,0.0,0,0.0633,2
low_crowding,RRT*,11,17.845,16.7727,1,0.4898,2
low_crowding,RRT*,12,999.1895,0.0,0,0.2834,0
low_crowding,RRT*,13,999.0571,0.0,0,0.102,0
low_crowding,RRT*,14,15.7361,18.0088,1,0.1536,2
low_crowding,RRT*,15,999.1772,0.0,0,0.499,0
low_crowding,RRT*,16,999.0928,0.0,0,0.3021,2
low_crowding,RRT*,17,999.1143,0.0,0,0.2155,2
low_crowding,RRT*,18,999.1421,0.0,0,0.3858,2
low_crowding,RRT*,19,999.0726,0.0,0,0.2963,2
low_crowding,RRT*,20,999.0776,0.0,0,2.6215,0
low_crowding,RRT*,21,999.1302,0.0,0,0.1723,0
low_crowding,RRT*,22,999.1157,0.0,0,0.588,2
low_crowding,RRT*,23,999.0809,0.0,0,0.7695,0
low_crowding,RRT*,24,999.1156,0.0,0,0.5688,0
low_crowding,RRT*,25,25.301,23.659,1,0.2414,2
low_crowding,RRT*,26,999.0702,0.0,0,0.2603,2
low_crowding,RRT*,27,999.149,0.0,0,0.2016,2
