scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,28.8254,26.0,1,0.293,2
low_crowding,A*,2,23.0187,24.0,1,0.1813,2
low_crowding,A*,3,31.2073,30.0,1,1.4509,0
low_crowding,A*,4,32.8797,31.0,1,0.272,2
low_crowding,A*,5,13.0052,15.0,1,0.1054,2
low_crowding,A*,6,34.1696,33.0,1,1.6197,2
low_crowding,A*,7,28.1905,23.0,1,0.3594,0
low_crowding,A*,8,31.1789,26.0,1,0.562,2
low_crowding,A*,9,24.9311,21.0,1,0.6468,2
low_crowding,A*,10,20.6893,21.0,1,0.2734,2
low_crowding,A*,11,16.9458,20.0,1,0.5857,2
low_crowding,A*,12,28.7824,28.0,1,0.368,2
low_crowding,A*,13,21.2448,22.0,1,0.4527,2
low_crowding,A*,14,19.7146,20.0,1,0.1506,2
low_crowding,A*,15,31.8759,31.0,1,1.3004,2
low_crowding,A*,16,16.3732,17.0,1,0.1253,2
low_crowding,A*,17,24.3922,26.0,1,0.9222,2
low_crowding,A*,18,16.8099,19.0,1,0.1155,0
low_crowding,A*,19,34.2611,30.0,1,1.465,2
low_crowding,A*,20,20.9328,20.0,1,0.1268,2
low_crowding,A*,21,14.2158,15.0,1,0.188,2
low_crowding,A*,22,42.5997,39.0,1,2.0625,0
low_crowding,A*,23,22.2393,21.0,1,0.2931,2
low_crowding,A*,24,17.3266,17.0,1,0.1096,2
low_crowding,A*,25,43.6039,44.0,1,2.8104,0
low_crowding,A*,26,18.5266,15.0,1,0.2898,2
low_crowding,A*,27,17.0484,18.0,1,0.1837,2
low_crowding,A*,28,17.0999,17.0,1,0.1274,2
low_crowding,A*,29,28.8731,26.0,1,0.1894,2
low_crowding,A*,30,33.6927,30.0,1,1.2854,2
low_crowding,RRT*,1,999.1964,0.0,0,29.2373,0
low_crowding,RRT*,2,23.7867,25.0088,1,0.769,2
low_crowding,RRT*,3,999.1438,0.0,0,0.2802,0
low_crowding,RRT*,4,999.1643,0.0,0,0.8451,2
